date,nav,scheme
22-06-2026,6199.48710,Axis_Bluechip
19-06-2026,6195.78150,Axis_Bluechip
18-06-2026,6194.65200,Axis_Bluechip
17-06-2026,6193.35040,Axis_Bluechip
16-06-2026,6191.81200,Axis_Bluechip
15-06-2026,6187.82230,Axis_Bluechip
12-06-2026,6181.81480,Axis_Bluechip
11-06-2026,6179.19960,Axis_Bluechip
10-06-2026,6181.79670,Axis_Bluechip
09-06-2026,6180.66850,Axis_Bluechip
08-06-2026,6174.20840,Axis_Bluechip
05-06-2026,6168.47550,Axis_Bluechip
04-06-2026,6160.94340,Axis_Bluechip
03-06-2026,6159.96260,Axis_Bluechip
02-06-2026,6158.96650,Axis_Bluechip
01-06-2026,6156.75320,Axis_Bluechip
29-05-2026,6151.11390,Axis_Bluechip
27-05-2026,6146.61180,Axis_Bluechip
26-05-2026,6144.00040,Axis_Bluechip
25-05-2026,6144.84780,Axis_Bluechip
22-05-2026,6142.63800,Axis_Bluechip
21-05-2026,6142.88080,Axis_Bluechip
20-05-2026,6147.58560,Axis_Bluechip
19-05-2026,6149.75980,Axis_Bluechip
18-05-2026,6148.48470,Axis_Bluechip
15-05-2026,6148.30160,Axis_Bluechip
14-05-2026,6148.93610,Axis_Bluechip
13-05-2026,6150.12570,Axis_Bluechip
12-05-2026,6150.50760,Axis_Bluechip
11-05-2026,6151.86710,Axis_Bluechip
08-05-2026,6151.37070,Axis_Bluechip
07-05-2026,6149.90980,Axis_Bluechip
06-05-2026,6149.03070,Axis_Bluechip
05-05-2026,6146.00010,Axis_Bluechip
04-05-2026,6145.70490,Axis_Bluechip
30-04-2026,6140.16140,Axis_Bluechip
29-04-2026,6141.87990,Axis_Bluechip
28-04-2026,6143.00100,Axis_Bluechip
27-04-2026,6142.59020,Axis_Bluechip
24-04-2026,6142.20180,Axis_Bluechip
23-04-2026,6141.96030,Axis_Bluechip
22-04-2026,6143.36630,Axis_Bluechip
21-04-2026,6142.96010,Axis_Bluechip
20-04-2026,6142.25370,Axis_Bluechip
17-04-2026,6139.23510,Axis_Bluechip
16-04-2026,6139.70040,Axis_Bluechip
15-04-2026,6137.69620,Axis_Bluechip
13-04-2026,6133.40710,Axis_Bluechip
10-04-2026,6129.76740,Axis_Bluechip
09-04-2026,6126.15440,Axis_Bluechip
08-04-2026,6119.12430,Axis_Bluechip
07-04-2026,6110.18340,Axis_Bluechip
06-04-2026,6107.33460,Axis_Bluechip
02-04-2026,6104.72640,Axis_Bluechip
31-03-2026,6102.51310,Axis_Bluechip
30-03-2026,6101.38580,Axis_Bluechip
27-03-2026,6095.18590,Axis_Bluechip
25-03-2026,6090.54100,Axis_Bluechip
24-03-2026,6089.20450,Axis_Bluechip
23-03-2026,6090.16010,Axis_Bluechip
20-03-2026,6093.52610,Axis_Bluechip
18-03-2026,6093.85860,Axis_Bluechip
17-03-2026,6089.09930,Axis_Bluechip
16-03-2026,6086.34340,Axis_Bluechip
13-03-2026,6083.61970,Axis_Bluechip
12-03-2026,6087.11200,Axis_Bluechip
11-03-2026,6088.34040,Axis_Bluechip
10-03-2026,6086.65160,Axis_Bluechip
09-03-2026,6085.22880,Axis_Bluechip
06-03-2026,6084.29620,Axis_Bluechip
05-03-2026,6082.39270,Axis_Bluechip
04-03-2026,6081.05890,Axis_Bluechip
02-03-2026,6081.76400,Axis_Bluechip
27-02-2026,6079.91950,Axis_Bluechip
26-02-2026,6078.81230,Axis_Bluechip
25-02-2026,6077.58860,Axis_Bluechip
24-02-2026,6076.17580,Axis_Bluechip
23-02-2026,6074.63880,Axis_Bluechip
20-02-2026,6071.65710,Axis_Bluechip
18-02-2026,6069.76700,Axis_Bluechip
17-02-2026,6069.70630,Axis_Bluechip
16-02-2026,6069.37830,Axis_Bluechip
13-02-2026,6066.86400,Axis_Bluechip
12-02-2026,6063.70500,Axis_Bluechip
11-02-2026,6061.12040,Axis_Bluechip
10-02-2026,6058.86430,Axis_Bluechip
09-02-2026,6057.50320,Axis_Bluechip
06-02-2026,6054.96860,Axis_Bluechip
05-02-2026,6055.74490,Axis_Bluechip
04-02-2026,6053.33130,Axis_Bluechip
03-02-2026,6050.77330,Axis_Bluechip
02-02-2026,6047.21590,Axis_Bluechip
30-01-2026,6043.78380,Axis_Bluechip
29-01-2026,6041.31730,Axis_Bluechip
28-01-2026,6040.78420,Axis_Bluechip
27-01-2026,6041.49770,Axis_Bluechip
23-01-2026,6037.64530,Axis_Bluechip
22-01-2026,6037.50600,Axis_Bluechip
21-01-2026,6034.62460,Axis_Bluechip
20-01-2026,6033.43290,Axis_Bluechip
19-01-2026,6033.56390,Axis_Bluechip
16-01-2026,6031.76390,Axis_Bluechip
14-01-2026,6031.49900,Axis_Bluechip
13-01-2026,6030.99530,Axis_Bluechip
12-01-2026,6031.23290,Axis_Bluechip
09-01-2026,6028.45910,Axis_Bluechip
08-01-2026,6028.08600,Axis_Bluechip
07-01-2026,6028.38460,Axis_Bluechip
06-01-2026,6028.72710,Axis_Bluechip
05-01-2026,6027.69050,Axis_Bluechip
02-01-2026,6025.26800,Axis_Bluechip
01-01-2026,6024.71870,Axis_Bluechip
31-12-2025,6023.54540,Axis_Bluechip
30-12-2025,6020.39880,Axis_Bluechip
29-12-2025,6020.51720,Axis_Bluechip
26-12-2025,6017.72270,Axis_Bluechip
24-12-2025,6015.99440,Axis_Bluechip
23-12-2025,6013.82670,Axis_Bluechip
22-12-2025,6012.96350,Axis_Bluechip
19-12-2025,6009.93470,Axis_Bluechip
18-12-2025,6008.95020,Axis_Bluechip
17-12-2025,6007.89020,Axis_Bluechip
16-12-2025,6007.20350,Axis_Bluechip
15-12-2025,6006.30400,Axis_Bluechip
12-12-2025,6004.00680,Axis_Bluechip
11-12-2025,6003.05960,Axis_Bluechip
10-12-2025,6002.27800,Axis_Bluechip
09-12-2025,6002.30200,Axis_Bluechip
08-12-2025,6002.03880,Axis_Bluechip
05-12-2025,5999.09530,Axis_Bluechip
04-12-2025,5996.93910,Axis_Bluechip
03-12-2025,5996.35110,Axis_Bluechip
02-12-2025,5995.77980,Axis_Bluechip
01-12-2025,5994.99360,Axis_Bluechip
28-11-2025,5992.53750,Axis_Bluechip
27-11-2025,5991.56950,Axis_Bluechip
26-11-2025,5990.45540,Axis_Bluechip
25-11-2025,5989.34880,Axis_Bluechip
24-11-2025,5988.07990,Axis_Bluechip
21-11-2025,5985.17890,Axis_Bluechip
20-11-2025,5984.26630,Axis_Bluechip
19-11-2025,5983.40160,Axis_Bluechip
18-11-2025,5982.38080,Axis_Bluechip
17-11-2025,5981.20660,Axis_Bluechip
14-11-2025,5978.35180,Axis_Bluechip
13-11-2025,5977.41710,Axis_Bluechip
12-11-2025,5976.36880,Axis_Bluechip
11-11-2025,5975.03740,Axis_Bluechip
10-11-2025,5973.97340,Axis_Bluechip
07-11-2025,5971.02470,Axis_Bluechip
06-11-2025,5969.92560,Axis_Bluechip
04-11-2025,5967.95870,Axis_Bluechip
03-11-2025,5966.96460,Axis_Bluechip
31-10-2025,5963.94250,Axis_Bluechip
30-10-2025,5962.91050,Axis_Bluechip
29-10-2025,5962.24360,Axis_Bluechip
28-10-2025,5961.28160,Axis_Bluechip
27-10-2025,5959.95940,Axis_Bluechip
24-10-2025,5957.01330,Axis_Bluechip
23-10-2025,5956.26610,Axis_Bluechip
20-10-2025,5953.55420,Axis_Bluechip
17-10-2025,5950.67900,Axis_Bluechip
16-10-2025,5949.99410,Axis_Bluechip
15-10-2025,5949.61580,Axis_Bluechip
14-10-2025,5948.72500,Axis_Bluechip
13-10-2025,5947.79550,Axis_Bluechip
10-10-2025,5944.84950,Axis_Bluechip
09-10-2025,5943.98080,Axis_Bluechip
08-10-2025,5943.16990,Axis_Bluechip
07-10-2025,5942.44460,Axis_Bluechip
06-10-2025,5941.79360,Axis_Bluechip
03-10-2025,5938.47480,Axis_Bluechip
01-10-2025,5935.60000,Axis_Bluechip
30-09-2025,5933.53730,Axis_Bluechip
26-09-2025,5928.04740,Axis_Bluechip
25-09-2025,5927.31080,Axis_Bluechip
24-09-2025,5926.67410,Axis_Bluechip
23-09-2025,5925.95310,Axis_Bluechip
22-09-2025,5924.97230,Axis_Bluechip
