date,nav,scheme
22-06-2026,108.46810,ICICI_Bluechip
19-06-2026,107.96360,ICICI_Bluechip
18-06-2026,108.00810,ICICI_Bluechip
17-06-2026,107.53480,ICICI_Bluechip
16-06-2026,107.01400,ICICI_Bluechip
15-06-2026,106.59770,ICICI_Bluechip
12-06-2026,105.21240,ICICI_Bluechip
11-06-2026,102.88080,ICICI_Bluechip
10-06-2026,103.18730,ICICI_Bluechip
09-06-2026,103.52590,ICICI_Bluechip
08-06-2026,102.48450,ICICI_Bluechip
05-06-2026,103.81020,ICICI_Bluechip
04-06-2026,103.64210,ICICI_Bluechip
03-06-2026,103.48090,ICICI_Bluechip
02-06-2026,103.59590,ICICI_Bluechip
01-06-2026,103.09480,ICICI_Bluechip
31-05-2026,104.30830,ICICI_Bluechip
29-05-2026,104.31290,ICICI_Bluechip
27-05-2026,105.92960,ICICI_Bluechip
26-05-2026,105.51150,ICICI_Bluechip
25-05-2026,105.92170,ICICI_Bluechip
22-05-2026,104.77080,ICICI_Bluechip
21-05-2026,104.49150,ICICI_Bluechip
20-05-2026,104.60460,ICICI_Bluechip
19-05-2026,104.27670,ICICI_Bluechip
18-05-2026,104.15560,ICICI_Bluechip
15-05-2026,104.29180,ICICI_Bluechip
14-05-2026,104.55310,ICICI_Bluechip
13-05-2026,103.39600,ICICI_Bluechip
12-05-2026,103.33840,ICICI_Bluechip
11-05-2026,105.60660,ICICI_Bluechip
08-05-2026,107.15000,ICICI_Bluechip
07-05-2026,107.67290,ICICI_Bluechip
06-05-2026,107.33540,ICICI_Bluechip
05-05-2026,105.83870,ICICI_Bluechip
04-05-2026,105.74490,ICICI_Bluechip
30-04-2026,105.28450,ICICI_Bluechip
29-04-2026,106.06980,ICICI_Bluechip
28-04-2026,105.62120,ICICI_Bluechip
27-04-2026,106.05280,ICICI_Bluechip
24-04-2026,105.09280,ICICI_Bluechip
23-04-2026,106.13010,ICICI_Bluechip
22-04-2026,106.82990,ICICI_Bluechip
21-04-2026,107.24340,ICICI_Bluechip
20-04-2026,106.20630,ICICI_Bluechip
17-04-2026,105.98260,ICICI_Bluechip
16-04-2026,105.11700,ICICI_Bluechip
15-04-2026,104.92590,ICICI_Bluechip
13-04-2026,103.23030,ICICI_Bluechip
10-04-2026,104.13480,ICICI_Bluechip
09-04-2026,102.54940,ICICI_Bluechip
08-04-2026,103.28330,ICICI_Bluechip
07-04-2026,99.38760,ICICI_Bluechip
06-04-2026,98.80140,ICICI_Bluechip
02-04-2026,97.52000,ICICI_Bluechip
01-04-2026,97.71840,ICICI_Bluechip
31-03-2026,96.27530,ICICI_Bluechip
30-03-2026,96.27680,ICICI_Bluechip
27-03-2026,98.67390,ICICI_Bluechip
25-03-2026,100.73190,ICICI_Bluechip
24-03-2026,98.65970,ICICI_Bluechip
23-03-2026,96.71300,ICICI_Bluechip
20-03-2026,99.61420,ICICI_Bluechip
19-03-2026,99.15970,ICICI_Bluechip
18-03-2026,102.45920,ICICI_Bluechip
17-03-2026,101.24960,ICICI_Bluechip
16-03-2026,100.39600,ICICI_Bluechip
13-03-2026,99.71110,ICICI_Bluechip
12-03-2026,101.97180,ICICI_Bluechip
11-03-2026,102.97760,ICICI_Bluechip
10-03-2026,104.75930,ICICI_Bluechip
09-03-2026,103.38820,ICICI_Bluechip
06-03-2026,105.40500,ICICI_Bluechip
05-03-2026,106.72970,ICICI_Bluechip
04-03-2026,105.49280,ICICI_Bluechip
02-03-2026,107.52310,ICICI_Bluechip
28-02-2026,108.93250,ICICI_Bluechip
27-02-2026,108.93450,ICICI_Bluechip
26-02-2026,110.29450,ICICI_Bluechip
25-02-2026,109.92930,ICICI_Bluechip
24-02-2026,109.36810,ICICI_Bluechip
23-02-2026,110.29100,ICICI_Bluechip
