date,nav,scheme
22-06-2026,101.36540,Nippon_Large_Cap
19-06-2026,100.78240,Nippon_Large_Cap
18-06-2026,100.99010,Nippon_Large_Cap
17-06-2026,100.60400,Nippon_Large_Cap
16-06-2026,100.00480,Nippon_Large_Cap
15-06-2026,99.35060,Nippon_Large_Cap
12-06-2026,98.17760,Nippon_Large_Cap
11-06-2026,96.17120,Nippon_Large_Cap
10-06-2026,96.58620,Nippon_Large_Cap
09-06-2026,96.68490,Nippon_Large_Cap
08-06-2026,95.89520,Nippon_Large_Cap
05-06-2026,97.24560,Nippon_Large_Cap
04-06-2026,97.26210,Nippon_Large_Cap
03-06-2026,97.21670,Nippon_Large_Cap
02-06-2026,97.47830,Nippon_Large_Cap
01-06-2026,97.19440,Nippon_Large_Cap
29-05-2026,98.46560,Nippon_Large_Cap
27-05-2026,99.80920,Nippon_Large_Cap
26-05-2026,99.43560,Nippon_Large_Cap
25-05-2026,99.80470,Nippon_Large_Cap
22-05-2026,98.74970,Nippon_Large_Cap
21-05-2026,98.37810,Nippon_Large_Cap
20-05-2026,98.39330,Nippon_Large_Cap
19-05-2026,98.12890,Nippon_Large_Cap
18-05-2026,97.93720,Nippon_Large_Cap
15-05-2026,98.00590,Nippon_Large_Cap
14-05-2026,98.06060,Nippon_Large_Cap
13-05-2026,97.16900,Nippon_Large_Cap
12-05-2026,97.18460,Nippon_Large_Cap
11-05-2026,99.20070,Nippon_Large_Cap
08-05-2026,100.49810,Nippon_Large_Cap
07-05-2026,101.29170,Nippon_Large_Cap
06-05-2026,101.17250,Nippon_Large_Cap
05-05-2026,99.90720,Nippon_Large_Cap
04-05-2026,100.09320,Nippon_Large_Cap
30-04-2026,99.55020,Nippon_Large_Cap
29-04-2026,100.39280,Nippon_Large_Cap
28-04-2026,99.97820,Nippon_Large_Cap
27-04-2026,100.60930,Nippon_Large_Cap
24-04-2026,99.76000,Nippon_Large_Cap
23-04-2026,100.80160,Nippon_Large_Cap
22-04-2026,101.58030,Nippon_Large_Cap
21-04-2026,101.96450,Nippon_Large_Cap
20-04-2026,100.95660,Nippon_Large_Cap
17-04-2026,100.79030,Nippon_Large_Cap
16-04-2026,99.92630,Nippon_Large_Cap
15-04-2026,99.88430,Nippon_Large_Cap
13-04-2026,98.18510,Nippon_Large_Cap
10-04-2026,98.88860,Nippon_Large_Cap
09-04-2026,97.49480,Nippon_Large_Cap
08-04-2026,98.18610,Nippon_Large_Cap
07-04-2026,94.75840,Nippon_Large_Cap
06-04-2026,94.35300,Nippon_Large_Cap
02-04-2026,93.23610,Nippon_Large_Cap
01-04-2026,92.92110,Nippon_Large_Cap
31-03-2026,91.45390,Nippon_Large_Cap
30-03-2026,91.45500,Nippon_Large_Cap
27-03-2026,93.57900,Nippon_Large_Cap
25-03-2026,95.62170,Nippon_Large_Cap
24-03-2026,93.83540,Nippon_Large_Cap
23-03-2026,92.15230,Nippon_Large_Cap
20-03-2026,94.82760,Nippon_Large_Cap
19-03-2026,94.54580,Nippon_Large_Cap
18-03-2026,97.54880,Nippon_Large_Cap
17-03-2026,96.61460,Nippon_Large_Cap
16-03-2026,95.94410,Nippon_Large_Cap
13-03-2026,95.18440,Nippon_Large_Cap
12-03-2026,97.31000,Nippon_Large_Cap
11-03-2026,98.11390,Nippon_Large_Cap
10-03-2026,99.47250,Nippon_Large_Cap
09-03-2026,98.28950,Nippon_Large_Cap
06-03-2026,100.08290,Nippon_Large_Cap
05-03-2026,101.14220,Nippon_Large_Cap
04-03-2026,99.95100,Nippon_Large_Cap
02-03-2026,101.85410,Nippon_Large_Cap
27-02-2026,103.30520,Nippon_Large_Cap
26-02-2026,104.50750,Nippon_Large_Cap
25-02-2026,104.46410,Nippon_Large_Cap
24-02-2026,103.95640,Nippon_Large_Cap
23-02-2026,104.82030,Nippon_Large_Cap
20-02-2026,104.23510,Nippon_Large_Cap
19-02-2026,103.59180,Nippon_Large_Cap
18-02-2026,105.25590,Nippon_Large_Cap
17-02-2026,104.70840,Nippon_Large_Cap
16-02-2026,104.53610,Nippon_Large_Cap
13-02-2026,103.81480,Nippon_Large_Cap
12-02-2026,104.99220,Nippon_Large_Cap
11-02-2026,105.54260,Nippon_Large_Cap
10-02-2026,105.35720,Nippon_Large_Cap
09-02-2026,104.89980,Nippon_Large_Cap
06-02-2026,103.92040,Nippon_Large_Cap
05-02-2026,103.75900,Nippon_Large_Cap
04-02-2026,104.07640,Nippon_Large_Cap
03-02-2026,103.85380,Nippon_Large_Cap
02-02-2026,101.24560,Nippon_Large_Cap
30-01-2026,102.23550,Nippon_Large_Cap
29-01-2026,102.39490,Nippon_Large_Cap
28-01-2026,101.84160,Nippon_Large_Cap
27-01-2026,100.89520,Nippon_Large_Cap
23-01-2026,100.51270,Nippon_Large_Cap
22-01-2026,101.53930,Nippon_Large_Cap
21-01-2026,100.89630,Nippon_Large_Cap
20-01-2026,101.29080,Nippon_Large_Cap
19-01-2026,102.92260,Nippon_Large_Cap
16-01-2026,103.21360,Nippon_Large_Cap
14-01-2026,103.31770,Nippon_Large_Cap
13-01-2026,103.37350,Nippon_Large_Cap
12-01-2026,103.62180,Nippon_Large_Cap
09-01-2026,103.46540,Nippon_Large_Cap
08-01-2026,104.33270,Nippon_Large_Cap
07-01-2026,105.60780,Nippon_Large_Cap
06-01-2026,105.70060,Nippon_Large_Cap
05-01-2026,105.71090,Nippon_Large_Cap
02-01-2026,106.12720,Nippon_Large_Cap
01-01-2026,105.40010,Nippon_Large_Cap
31-12-2025,105.34210,Nippon_Large_Cap
30-12-2025,104.59350,Nippon_Large_Cap
29-12-2025,104.71880,Nippon_Large_Cap
26-12-2025,104.99120,Nippon_Large_Cap
24-12-2025,105.35480,Nippon_Large_Cap
23-12-2025,105.53810,Nippon_Large_Cap
22-12-2025,105.33800,Nippon_Large_Cap
19-12-2025,104.74950,Nippon_Large_Cap
18-12-2025,104.06780,Nippon_Large_Cap
17-12-2025,104.19180,Nippon_Large_Cap
16-12-2025,104.47820,Nippon_Large_Cap
15-12-2025,105.18210,Nippon_Large_Cap
12-12-2025,105.27380,Nippon_Large_Cap
11-12-2025,104.65900,Nippon_Large_Cap
10-12-2025,104.01400,Nippon_Large_Cap
09-12-2025,104.26350,Nippon_Large_Cap
08-12-2025,104.37210,Nippon_Large_Cap
05-12-2025,105.41420,Nippon_Large_Cap
04-12-2025,105.04260,Nippon_Large_Cap
03-12-2025,105.02140,Nippon_Large_Cap
02-12-2025,105.23670,Nippon_Large_Cap
01-12-2025,105.53890,Nippon_Large_Cap
28-11-2025,105.68440,Nippon_Large_Cap
27-11-2025,105.68400,Nippon_Large_Cap
26-11-2025,105.57550,Nippon_Large_Cap
25-11-2025,104.17120,Nippon_Large_Cap
24-11-2025,104.32300,Nippon_Large_Cap
21-11-2025,104.86640,Nippon_Large_Cap
20-11-2025,105.60470,Nippon_Large_Cap
19-11-2025,105.13920,Nippon_Large_Cap
18-11-2025,104.60870,Nippon_Large_Cap
17-11-2025,105.12030,Nippon_Large_Cap
14-11-2025,104.68640,Nippon_Large_Cap
13-11-2025,104.66240,Nippon_Large_Cap
12-11-2025,104.68290,Nippon_Large_Cap
11-11-2025,104.12420,Nippon_Large_Cap
10-11-2025,103.89120,Nippon_Large_Cap
07-11-2025,103.67120,Nippon_Large_Cap
06-11-2025,103.66830,Nippon_Large_Cap
04-11-2025,104.29600,Nippon_Large_Cap
03-11-2025,104.84940,Nippon_Large_Cap
31-10-2025,104.51020,Nippon_Large_Cap
30-10-2025,105.23760,Nippon_Large_Cap
29-10-2025,105.79850,Nippon_Large_Cap
28-10-2025,105.14300,Nippon_Large_Cap
27-10-2025,105.19740,Nippon_Large_Cap
24-10-2025,104.64410,Nippon_Large_Cap
23-10-2025,105.04290,Nippon_Large_Cap
20-10-2025,104.88000,Nippon_Large_Cap
17-10-2025,104.46730,Nippon_Large_Cap
16-10-2025,104.15940,Nippon_Large_Cap
15-10-2025,103.28250,Nippon_Large_Cap
14-10-2025,102.54390,Nippon_Large_Cap
13-10-2025,102.96800,Nippon_Large_Cap
10-10-2025,103.23600,Nippon_Large_Cap
09-10-2025,102.79680,Nippon_Large_Cap
08-10-2025,102.35640,Nippon_Large_Cap
07-10-2025,102.78830,Nippon_Large_Cap
06-10-2025,102.82960,Nippon_Large_Cap
03-10-2025,102.38350,Nippon_Large_Cap
01-10-2025,102.05810,Nippon_Large_Cap
30-09-2025,101.30000,Nippon_Large_Cap
26-09-2025,101.31250,Nippon_Large_Cap
25-09-2025,102.47420,Nippon_Large_Cap
24-09-2025,103.33380,Nippon_Large_Cap
23-09-2025,103.81340,Nippon_Large_Cap
22-09-2025,103.81050,Nippon_Large_Cap
19-09-2025,104.35090,Nippon_Large_Cap
18-09-2025,104.55310,Nippon_Large_Cap
17-09-2025,104.24380,Nippon_Large_Cap
16-09-2025,103.90140,Nippon_Large_Cap
15-09-2025,103.15000,Nippon_Large_Cap
12-09-2025,102.97640,Nippon_Large_Cap
11-09-2025,102.40330,Nippon_Large_Cap
10-09-2025,102.35120,Nippon_Large_Cap
09-09-2025,101.96770,Nippon_Large_Cap
08-09-2025,101.67650,Nippon_Large_Cap
05-09-2025,101.55170,Nippon_Large_Cap
04-09-2025,101.49650,Nippon_Large_Cap
03-09-2025,101.59090,Nippon_Large_Cap
02-09-2025,100.99070,Nippon_Large_Cap
01-09-2025,101.16640,Nippon_Large_Cap
29-08-2025,100.34960,Nippon_Large_Cap
28-08-2025,100.55230,Nippon_Large_Cap
26-08-2025,101.34000,Nippon_Large_Cap
25-08-2025,102.33870,Nippon_Large_Cap
22-08-2025,102.05200,Nippon_Large_Cap
21-08-2025,102.72800,Nippon_Large_Cap
20-08-2025,102.65580,Nippon_Large_Cap
19-08-2025,102.24210,Nippon_Large_Cap
18-08-2025,101.68670,Nippon_Large_Cap
14-08-2025,100.57410,Nippon_Large_Cap
13-08-2025,100.59140,Nippon_Large_Cap
12-08-2025,99.75360,Nippon_Large_Cap
11-08-2025,99.91600,Nippon_Large_Cap
08-08-2025,98.98840,Nippon_Large_Cap
07-08-2025,99.90910,Nippon_Large_Cap
06-08-2025,99.78860,Nippon_Large_Cap
05-08-2025,100.11120,Nippon_Large_Cap
04-08-2025,100.27790,Nippon_Large_Cap
01-08-2025,99.91130,Nippon_Large_Cap
31-07-2025,100.59410,Nippon_Large_Cap
30-07-2025,100.68860,Nippon_Large_Cap
29-07-2025,100.21010,Nippon_Large_Cap
