date,nav,scheme
22-06-2026,105.98500,SBI_Bluechip
19-06-2026,105.92190,SBI_Bluechip
18-06-2026,105.90030,SBI_Bluechip
17-06-2026,105.84820,SBI_Bluechip
16-06-2026,105.84550,SBI_Bluechip
15-06-2026,105.81250,SBI_Bluechip
12-06-2026,105.68640,SBI_Bluechip
11-06-2026,105.57370,SBI_Bluechip
10-06-2026,105.65690,SBI_Bluechip
09-06-2026,105.57930,SBI_Bluechip
08-06-2026,105.30840,SBI_Bluechip
05-06-2026,105.10700,SBI_Bluechip
04-06-2026,104.80950,SBI_Bluechip
03-06-2026,104.74960,SBI_Bluechip
02-06-2026,104.76630,SBI_Bluechip
01-06-2026,104.70250,SBI_Bluechip
29-05-2026,104.65700,SBI_Bluechip
27-05-2026,104.58330,SBI_Bluechip
26-05-2026,104.52690,SBI_Bluechip
25-05-2026,104.52150,SBI_Bluechip
22-05-2026,104.34670,SBI_Bluechip
21-05-2026,104.28500,SBI_Bluechip
20-05-2026,104.38260,SBI_Bluechip
19-05-2026,104.42160,SBI_Bluechip
18-05-2026,104.37910,SBI_Bluechip
15-05-2026,104.59680,SBI_Bluechip
14-05-2026,104.73180,SBI_Bluechip
13-05-2026,104.73710,SBI_Bluechip
12-05-2026,104.75850,SBI_Bluechip
11-05-2026,104.80530,SBI_Bluechip
08-05-2026,104.86960,SBI_Bluechip
07-05-2026,104.87620,SBI_Bluechip
06-05-2026,104.80430,SBI_Bluechip
05-05-2026,104.61660,SBI_Bluechip
04-05-2026,104.65440,SBI_Bluechip
30-04-2026,104.57060,SBI_Bluechip
29-04-2026,104.65940,SBI_Bluechip
28-04-2026,104.74280,SBI_Bluechip
27-04-2026,104.77710,SBI_Bluechip
24-04-2026,104.70910,SBI_Bluechip
23-04-2026,104.76520,SBI_Bluechip
22-04-2026,104.84730,SBI_Bluechip
21-04-2026,104.84700,SBI_Bluechip
20-04-2026,104.83690,SBI_Bluechip
17-04-2026,104.78210,SBI_Bluechip
16-04-2026,104.79590,SBI_Bluechip
15-04-2026,104.79010,SBI_Bluechip
13-04-2026,104.61130,SBI_Bluechip
10-04-2026,104.59560,SBI_Bluechip
09-04-2026,104.51500,SBI_Bluechip
08-04-2026,104.39190,SBI_Bluechip
07-04-2026,103.99180,SBI_Bluechip
06-04-2026,103.91420,SBI_Bluechip
02-04-2026,103.88130,SBI_Bluechip
31-03-2026,104.01160,SBI_Bluechip
30-03-2026,103.99210,SBI_Bluechip
27-03-2026,103.91020,SBI_Bluechip
25-03-2026,103.97130,SBI_Bluechip
24-03-2026,103.98160,SBI_Bluechip
23-03-2026,110.66250,SBI_Bluechip
20-03-2026,110.93520,SBI_Bluechip
18-03-2026,110.99850,SBI_Bluechip
17-03-2026,110.93160,SBI_Bluechip
16-03-2026,110.91590,SBI_Bluechip
13-03-2026,110.92870,SBI_Bluechip
12-03-2026,110.98980,SBI_Bluechip
11-03-2026,111.10720,SBI_Bluechip
10-03-2026,111.04840,SBI_Bluechip
09-03-2026,110.91930,SBI_Bluechip
06-03-2026,111.03950,SBI_Bluechip
05-03-2026,111.05340,SBI_Bluechip
04-03-2026,110.94990,SBI_Bluechip
02-03-2026,111.06530,SBI_Bluechip
27-02-2026,111.02610,SBI_Bluechip
26-02-2026,111.00690,SBI_Bluechip
25-02-2026,110.98260,SBI_Bluechip
24-02-2026,110.93940,SBI_Bluechip
23-02-2026,110.88290,SBI_Bluechip
20-02-2026,110.80700,SBI_Bluechip
18-02-2026,110.86130,SBI_Bluechip
17-02-2026,110.86820,SBI_Bluechip
16-02-2026,110.84090,SBI_Bluechip
13-02-2026,110.75840,SBI_Bluechip
12-02-2026,110.63090,SBI_Bluechip
11-02-2026,110.50560,SBI_Bluechip
10-02-2026,110.42930,SBI_Bluechip
09-02-2026,110.42330,SBI_Bluechip
06-02-2026,110.41730,SBI_Bluechip
05-02-2026,110.59850,SBI_Bluechip
04-02-2026,110.44770,SBI_Bluechip
03-02-2026,110.29600,SBI_Bluechip
02-02-2026,110.15370,SBI_Bluechip
30-01-2026,110.19030,SBI_Bluechip
29-01-2026,110.09220,SBI_Bluechip
28-01-2026,110.08550,SBI_Bluechip
27-01-2026,110.10780,SBI_Bluechip
23-01-2026,110.07660,SBI_Bluechip
22-01-2026,110.05390,SBI_Bluechip
21-01-2026,109.94380,SBI_Bluechip
20-01-2026,109.93850,SBI_Bluechip
19-01-2026,109.97420,SBI_Bluechip
16-01-2026,110.01070,SBI_Bluechip
14-01-2026,110.12860,SBI_Bluechip
13-01-2026,110.18780,SBI_Bluechip
12-01-2026,110.29740,SBI_Bluechip
09-01-2026,110.23270,SBI_Bluechip
08-01-2026,110.22180,SBI_Bluechip
07-01-2026,110.21750,SBI_Bluechip
06-01-2026,110.26470,SBI_Bluechip
05-01-2026,110.24980,SBI_Bluechip
02-01-2026,110.33330,SBI_Bluechip
01-01-2026,110.34930,SBI_Bluechip
